text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"That's a tough one <ed><U+00A0><U+00BE><ed><U+00B4><U+0094><ed><U+00A0><U+00BE><ed><U+00B4><U+0094><ed><U+00A0><U+00BD><ed><U+00B8><U+00AC><ed><U+00A0><U+00BD><ed><U+00B8><U+00AC><ed><U+00A0><U+00BD><ed><U+00B8><U+00AC><ed><U+00A0><U+00BD><ed><U+00B8><U+00AC><ed><U+00A0><U+00BD><ed><U+00B8><U+00AC> Might have to be #brysontiller ""run me dry"" or #stefflondon ft #frenchmontana ""hurting m<U+2026> https://t.co/vkpG725r9b",FALSE,2,NA,2017/12/18 17:34,TRUE,NA,9.4281E+17,NA,Twitter for iPhone,DJFingerz,1,FALSE,FALSE,NA,NA
"RT @Polls2018: Would you rather Spend a Day with..?

#Rihanna #TaylorSwift #SelenaGomez #MileyCyrus #Poll #Polls",FALSE,0,NA,2017/12/18 17:34,FALSE,NA,9.4281E+17,NA,Twitter for iPad,maxtreemax,1,TRUE,FALSE,NA,NA
RT @WatchMojoES: Se debe bailar con estos temas <ed><U+00A0><U+00BD><ed><U+00B2><U+0083><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD> #lmfao #brunomars #rihanna #daftpunk #donomar #calvinharris #swedishhousemafia #avicii h<U+2026>,FALSE,0,NA,2017/12/18 17:32,FALSE,NA,9.4281E+17,NA,Twitter for Android,AxelReingss,3,TRUE,FALSE,NA,NA
"info about justin bieber, Quit while you're ahead. All the best gamblers do., https://t.co/iYdZ978tBj #1d #rihanna #bieber #adele #song",FALSE,0,NA,2017/12/18 17:31,FALSE,NA,9.42809E+17,NA,twittbot.net,MP3SongMusic,0,FALSE,FALSE,NA,NA
#NinelConde <U+00BF>recurre a imitaci<U+00F3>n de famos<U+00ED>simas botas de swarovski? As<U+00ED> lo deja ver su Maquillista. Las botas las u<U+2026> https://t.co/7GWyf5zcBO,FALSE,0,NA,2017/12/18 17:30,TRUE,NA,9.42809E+17,NA,TweetDeck,ELDEBATE,0,FALSE,FALSE,NA,NA
#NinelConde <U+00BF>recurre a imitaci<U+00F3>n de famos<U+00ED>simas botas de swarovski? As<U+00ED> lo deja ver su Maquillista. Las botas las u<U+2026> https://t.co/axGbsXdmzQ,FALSE,0,NA,2017/12/18 17:30,TRUE,NA,9.42809E+17,NA,TweetDeck,DBT_Culiacan,0,FALSE,FALSE,NA,NA
"RT @Power1051: #Rihanna says ""Powerful, creative, without any taboos, @LilKim has pushed the limits like no other black artist,"" 
Read more<U+2026>",FALSE,0,NA,2017/12/18 17:30,FALSE,NA,9.42809E+17,NA,Twitter Lite,CarminaHollywoo,191,TRUE,FALSE,NA,NA
#lemonfreestyle #lemon #rihanna #lemonchallenge #lemonfreestylechallenge #droppingtoday #fire @<U+2026> https://t.co/p2e6gWZTKt,FALSE,0,NA,2017/12/18 17:28,FALSE,NA,9.42809E+17,NA,Instagram,Godwitaextrao,0,FALSE,FALSE,-117.228,33.9431
"RT @Power1051: #Rihanna says ""Powerful, creative, without any taboos, @LilKim has pushed the limits like no other black artist,"" 
Read more<U+2026>",FALSE,0,NA,2017/12/18 17:26,FALSE,NA,9.42808E+17,NA,Twitter for iPhone,SlimJim2123,191,TRUE,FALSE,NA,NA
#TaylorSwift #MileyCyrus #FifthHarmony #LadyGaGa #KylieJenner #KatyPerry  #ArianaGrande #Rihanna #KimKardashian https://t.co/Jd2LLVOoaC,FALSE,1,NA,2017/12/18 17:20,FALSE,NA,9.42807E+17,NA,Hootsuite,dreamgirls,0,FALSE,FALSE,NA,NA
"RT @Power1051: #Rihanna says ""Powerful, creative, without any taboos, @LilKim has pushed the limits like no other black artist,"" 
Read more<U+2026>",FALSE,0,NA,2017/12/18 17:14,FALSE,NA,9.42805E+17,NA,Twitter Lite,AdriianHtx,191,TRUE,FALSE,NA,NA
"RT @Power1051: #Rihanna says ""Powerful, creative, without any taboos, @LilKim has pushed the limits like no other black artist,"" 
Read more<U+2026>",FALSE,0,NA,2017/12/18 17:14,FALSE,NA,9.42805E+17,NA,Twitter for iPhone,MrGOAT_Blanco,191,TRUE,FALSE,NA,NA
Ocean's 8 Teaser Trailer #1 (2018) Trailers https://t.co/Ry1KbZgBe2 via @YouTube #SandraBullock #CateBlanchett<U+2026> https://t.co/1lEDRLrpXL,FALSE,3,NA,2017/12/18 17:10,TRUE,NA,9.42804E+17,NA,Twitter Web Client,HerbaMinor,0,FALSE,FALSE,NA,NA
#TaylorSwift #MileyCyrus #FifthHarmony #LadyGaGa #KylieJenner #KatyPerry  #ArianaGrande #Rihanna #KimKardashian https://t.co/z9AtCWZlXG,FALSE,1,NA,2017/12/18 17:05,FALSE,NA,9.42803E+17,NA,Hootsuite,dreamgirls,0,FALSE,FALSE,NA,NA
RT @badgalrihrifr: Quand on a juste envie d<U+2019><U+00EA>tre @enjoyphoenix <U+00E0> ce moment pr<U+00E9>cis. #Rihanna #FentyBeauty Launch Party <U+00E0> Paris <ed><U+00A0><U+00BD><ed><U+00B6><U+00A4> https://t.c<U+2026>,FALSE,0,NA,2017/12/18 17:01,FALSE,NA,9.42802E+17,NA,Twitter for Android,Emilie_R62,341,TRUE,FALSE,NA,NA
"justin bieber song love, Our attitude toward life determines life's attitude towards us., https://t.co/q9bcmvBK1x<U+2026> https://t.co/5JZ0aK7Aiw",FALSE,0,NA,2017/12/18 17:00,TRUE,NA,9.42802E+17,NA,twittbot.net,MP3SongMusic,0,FALSE,FALSE,NA,NA
RT @DjPedroSampaio: Calvin Harris ft Rihanna - This is What You Came For (LiveEdit) #Rihanna #CalvinHarris https://t.co/eAjSsf0BDI,FALSE,0,NA,2017/12/18 16:59,FALSE,NA,9.42802E+17,NA,Twitter for iPhone,maiamilleny,1695,TRUE,FALSE,NA,NA
"Amazing App with best 20 quotes of your idols: https://t.co/SrjDdRl7Fs   

#Rihanna #RihannaFans #RihannaPhotos<U+2026> https://t.co/st7ayvtpYv",FALSE,0,NA,2017/12/18 16:59,TRUE,NA,9.42802E+17,NA,Postcron App,greatpicsrihann,0,FALSE,FALSE,NA,NA
"Amazing App with best 20 quotes of your idols -  https://t.co/frPYxlpjWV  

#Rihanna #Riri #RihannaLovers<U+2026> https://t.co/HmDkoUSBH1",FALSE,1,NA,2017/12/18 16:59,TRUE,NA,9.42802E+17,NA,Postcron App,B20qR,0,FALSE,FALSE,NA,NA
Amazing App with best 20 quotes of your idols - https://t.co/3AzyP1Iy8W      #RihannaQuotes #RihannaPhotos #Rihanna<U+2026> https://t.co/c9qre6vCqQ,FALSE,0,NA,2017/12/18 16:59,TRUE,NA,9.42802E+17,NA,Postcron App,bestpicsri,0,FALSE,FALSE,NA,NA
RT @leoborges0: #eminem ft #Rihanna - Love The Way You Lie https://t.co/ukzCZE8s85,FALSE,0,NA,2017/12/18 16:57,FALSE,NA,9.42801E+17,NA,Twitter for iPhone,duda_campolina,24,TRUE,FALSE,NA,NA
"<U+00A1>#Oceans8 estrena teaser con sus 8 guapas estafadoras! 
<ed><U+00A0><U+00BC><ed><U+00BE><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B5><U+00B6><ed><U+00A0><U+00BD><ed><U+00B1><U+00A0>

Ma<U+00F1>ana tendremos el primer tr<U+00E1>iler. 

#SandraBullock<U+2026> https://t.co/gj9sw8FWkR",FALSE,1,NA,2017/12/18 16:56,TRUE,NA,9.42801E+17,NA,Twitter for iPhone,revistaskyview,0,FALSE,FALSE,NA,NA
Love On the Brain By #Rihanna #SongoftheDay #Music,FALSE,2,NA,2017/12/18 16:54,FALSE,NA,9.428E+17,NA,Twitter for iPhone,PLCarrie,0,FALSE,FALSE,NA,NA
"RT @HYPELIFEmedia: #Rihanna and #Popcaan stir rumors on social media after cozy photo! Full story: https://t.co/eGA1EhNIy6 

#Dancehall #Ja<U+2026>",FALSE,0,NA,2017/12/18 16:52,FALSE,NA,9.428E+17,NA,Twitter for Android,kwesi_stanza,33,TRUE,FALSE,NA,NA
Wild thoughts #np #Rihanna,FALSE,0,NA,2017/12/18 16:51,FALSE,NA,9.42799E+17,NA,Twitter for iPhone,Thejuly23rd,0,FALSE,FALSE,NA,NA
"RT @HYPELIFEmedia: #Rihanna and #Popcaan stir rumors on social media after cozy photo! Full story: https://t.co/eGA1EhNIy6 

#Dancehall #Ja<U+2026>",FALSE,0,NA,2017/12/18 16:49,FALSE,NA,9.42799E+17,NA,Twitter Web Client,HYPELIFEmedia,33,TRUE,FALSE,NA,NA
RT @blanchetters: Are you Ready? <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #oceans8 #cateblanchett #SandraBullock #sarahpaulson #Rihanna #annehathaway https://t.co/XM4QbGb9OS,FALSE,0,NA,2017/12/18 16:47,FALSE,NA,9.42799E+17,NA,Twitter Web Client,Zigs26,5,TRUE,FALSE,NA,NA
"RT @EDMryo1728: Calvin Harris-This Is What You Came For 

<U+3053><U+308C><U+597D><U+304D><U+306A><U+4EBA>RT<U+2728>

#EDM
#EDM<U+597D><U+304D><U+306A><U+4EBA>RT 
#CalvinHarris
#Rihanna https://t.co/ie9R866Xwe",FALSE,0,NA,2017/12/18 16:47,FALSE,NA,9.42798E+17,NA,Twitter for Android,lunasangrienta1,66,TRUE,FALSE,NA,NA
First &amp;#8216;Ocean&amp;#8217;s 8&amp;#8242; Trailer Teaser Reveals a New Team of Thieves https://t.co/kifq2N63Ra #Oceans8<U+2026> https://t.co/LyjNWLRfWz,FALSE,0,NA,2017/12/18 16:46,TRUE,NA,9.42798E+17,NA,Twitter Web Client,i2MPro,0,FALSE,FALSE,NA,NA
Mon 11:45 rehab by #rihanna  #nowplaying #FREQUENCY360RADIO https://t.co/lPX9Df4FlN,FALSE,0,NA,2017/12/18 16:45,FALSE,NA,9.42798E+17,NA,CSSocial,FREQUENCY360TV,0,FALSE,FALSE,NA,NA
RT @_bethhoward: Flipagram Challenge 8 #Rihanna #flipagram created using @flipagram https://t.co/ZoT2t6wzuy,FALSE,0,NA,2017/12/18 16:40,FALSE,NA,9.42797E+17,NA,Twitter for Android,_bethhoward,1,TRUE,FALSE,NA,NA
#TaylorSwift #MileyCyrus #FifthHarmony #LadyGaGa #KylieJenner #KatyPerry  #ArianaGrande #Rihanna #KimKardashian https://t.co/QjGWqqq90p,FALSE,0,NA,2017/12/18 16:40,FALSE,NA,9.42797E+17,NA,Hootsuite,dreamgirls,0,FALSE,FALSE,NA,NA
