text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
Look what you made me do. #reputation #taylorswift #reputationvinyl https://t.co/xdWrKyN6GQ,FALSE,0,NA,2017/12/18 19:03,FALSE,NA,9.42833E+17,NA,Instagram,MattBellBerry,0,FALSE,FALSE,NA,NA
RT @TSwiftDailyNews: RT to vote for #Zayn &amp; #TaylorSwift <U+201C>I Don<U+2019>t Wanna Live Forever<U+201D> for #Mashup! @radiodisney #RDMA @zaynmalik @taylorswi<U+2026>,FALSE,0,NA,2017/12/18 19:03,FALSE,NA,9.42833E+17,NA,Twitter Lite,CuteKittyGirlx,155,TRUE,FALSE,NA,NA
RT @TSwiftDailyNews: RT to vote for #Zayn &amp; #TaylorSwift <U+201C>I Don<U+2019>t Wanna Live Forever<U+201D> for #Mashup! @radiodisney #RDMA @zaynmalik @taylorswi<U+2026>,FALSE,0,NA,2017/12/18 19:02,FALSE,NA,9.42833E+17,NA,Twitter Lite,Tswiftiefan22,155,TRUE,FALSE,NA,NA
"RT @barks_news: <U+300E><U+30C6><U+30E9><U+30B9><U+30CF><U+30A6><U+30B9><U+300F><U+8EFD><U+4E95><U+6CA2><U+7DE8><U+3001>OP<U+66F2><U+306F><U+30C6><U+30A4><U+30E9><U+30FC><U+30FB><U+30B9><U+30A6><U+30A3><U+30D5><U+30C8><U+300C>...Ready For It?<U+300D>

https://t.co/rfIaJF6MAp
#TaylorSwift #TERRACEHOUSE #<U+30C6><U+30E9><U+30B9><U+30CF><U+30A6><U+30B9>",FALSE,0,NA,2017/12/18 19:02,FALSE,NA,9.42832E+17,NA,Twitter for iPhone,kuroblue13,18,TRUE,FALSE,NA,NA
"Ocean blue eyes looking in mine
I feel like I might sink and drown and die 
#reylo #reyloiscanon #starwars<U+00A0><U+2026> https://t.co/oblBou6Mji",FALSE,0,NA,2017/12/18 18:59,TRUE,NA,9.42832E+17,NA,Twitter for iPhone,swfanfic,0,FALSE,FALSE,NA,NA
"<U+2728> 

.
.
.
.
.
#california #losangeles #taylorswift #popup #vsco #vscocam #loveyourself #beauty @<U+2026> https://t.co/qBmeapcO8A",FALSE,0,NA,2017/12/18 18:56,FALSE,NA,9.42831E+17,NA,Instagram,mayalaurenti,0,FALSE,FALSE,-118.243,34.0522
@twinfire_signs Hey <ed><U+00A0><U+00BD><ed><U+00B1><U+008B><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> Sell these on our free app without any fees <ed><U+00A0><U+00BD><ed><U+00B3><U+00B2> #TaylorSwift tickets are in demand right now https://t.co/o9rxfA0BDB,FALSE,0,twinfire_signs,2017/12/18 18:54,FALSE,9.42826E+17,9.4283E+17,1441627694,Twitter for iPhone,HelpMeVibe,0,FALSE,FALSE,NA,NA
RT @TaylorSPolls: So about The Swift Life? #TaylorSwiftNOW #TaylorSwift #Swifties #TheSwiftLife #TheSwiftLifeApp,FALSE,0,NA,2017/12/18 18:52,FALSE,NA,9.4283E+17,NA,Swifties Retweet Bot,swiftiesretweet,3,TRUE,FALSE,NA,NA
"RT @TaylorSPolls: Good morning, Swifties! <ed><U+00A0><U+00BD><ed><U+00B2><U+0095>
Song vs. song
#TaylorSwiftNOW #TaylorSwift #Swifties #Haunted #SpeakNow #LookWhatYouMadeMeDo #r<U+2026>",FALSE,0,NA,2017/12/18 18:49,FALSE,NA,9.42829E+17,NA,Twitter for Android,taay_1989,6,TRUE,FALSE,NA,NA
Favourite songs of October &amp; November | https://t.co/JUNSd6mP86 https://t.co/1mB9S5XerP | #music #favourites<U+2026> https://t.co/JlGPzRdo4Q,FALSE,0,NA,2017/12/18 18:49,TRUE,NA,9.42829E+17,NA,Buffer,Sfejaaa,0,FALSE,FALSE,NA,NA
"a tough night..
it's all good when i put my #TaylorSwift CD's on",FALSE,0,NA,2017/12/18 18:48,FALSE,NA,9.42829E+17,NA,twittbot.net,Jane4sc,0,FALSE,FALSE,NA,NA
"You make me so happy, it turns back to sad,
There's nothing I hate more than what I can't have
You are so gorgeous<U+2026> https://t.co/pql2Xu0Xl1",FALSE,0,NA,2017/12/18 18:44,TRUE,NA,9.42828E+17,NA,Twitter for iPhone,swfanfic,0,FALSE,FALSE,NA,NA
#TaylorSwift #MileyCyrus #FifthHarmony #LadyGaGa #KylieJenner #KatyPerry  #ArianaGrande #Rihanna #KimKardashian https://t.co/jgVIZ0jKT8,FALSE,0,NA,2017/12/18 18:40,FALSE,NA,9.42827E+17,NA,Hootsuite,dreamgirls,0,FALSE,FALSE,NA,NA
